[08/13 11:59:32.387410][info][337038][HostTimestampProvider.cpp:36] Update clock type to: realtime(0)
[08/13 12:09:37.428999][info][347592][HostTimestampProvider.cpp:36] Update clock type to: realtime(0)
[08/13 12:29:36.143347][info][392651][HostTimestampProvider.cpp:36] Update clock type to: realtime(0)
[08/18 12:08:18.890064][info][2535474][HostTimestampProvider.cpp:36] Update clock type to: realtime(0)
[08/18 23:18:03.767596][info][3211667][HostTimestampProvider.cpp:36] Update clock type to: realtime(0)
[08/18 23:36:15.431177][info][3255908][HostTimestampProvider.cpp:36] Update clock type to: realtime(0)
[08/20 10:21:26.769177][error][3256067][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:26.869319][error][3256067][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:27.029879][error][3256067][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:27.130010][error][3256067][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:27.280237][error][3256067][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:27.380365][error][3256067][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:27.530687][error][3256067][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:27.630845][error][3256067][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:27.781091][error][3256067][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:27.881232][error][3256067][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:28.031488][error][3256067][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:28.131727][error][3256067][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:34.571502][error][603923][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:34.671644][error][603923][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:34.825869][error][603923][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:34.926025][error][603923][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:35.026623][error][603923][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:35.126781][error][603923][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:35.239164][error][3255908][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:35.339341][error][3255908][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:35.439618][error][3255908][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
[08/20 10:21:35.539909][error][3255908][ObLibuvcDevicePort.cpp:281] setXu failed, error code=-1
